Material Number,Manufacturer Name,Manufacturer Article Number,Type Code,Short Text,Plant,Storage Location,Storage Bin,Technical Drawing Number,Technical Parameters,Remark 1,GTIN,SPARETECH ID,eClass [10.1],Storage Location,MRP Type_VB_ND,Purchasing Group,Valuation Class,Order Quantity_HB_FX,Fixed Order Quantity,Minimum Stock,Current Inventory Level,Maximum Quantity,Reorder Level,Base Unit of Measure,Purchase Order Text,Supplier Name,Supplier Article Number,Time Of Delivery,Price,MRP Type,Purchasing Value Key,Quantity Functional Location,Technical Location,Quantity Technical Location,Equipment,Quantity Equipment,Purchased Part/In-House Production,Language,Remark 2,New Creation ID
ERSA000014,Phoenix Contact,2819574,IBILSSI-IN-PAC,IBILSSI-IN-PAC,Tokyo,0020-PL15|0020-EF50|0020-PF90,0012L01014,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,C875,,FX,1,,,5,1,PC,IBILSSI-IN-PAC 2819574 Phoenix Contact,,,,0,ZA,,,4239,2,48568 | 55879,1 I 4,Purchased Part,EN,,
ERSA000015,Harting,han24 e sti-s ,9330242601,Contact insert,Cape Town,0020-PL15|0020-EF50|0020-PF90,B450,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,FX,3,,,1,1,PC,Contact insert han24 e sti-s  Harting,,,,0,ZA,,,2396,3,48568 | 55879,0 I 8,Purchased Part,EN,,
ERSA000016,Bosch Rexroth AG,R900 407 439,,Check valve NG10 Z2S 10-1-3X/V,Chicago,0020-PL15|0020-EF50,Z356,,,,,,,0020-PL15|0020-EF50,VB,568,6010,FX,3,,,5,1,PC,Check valve NG10 Z2S 10-1-3X/V R900 407 439 Bosch Rexroth AG,,,,0,ZA,,,3927,3,48568 | 55879,5 I 2,Purchased Part,EN,,
ERSA000017,Festo,543861,"SME-8M-DS-24V-K0,3-M8D",Proximity switch,Tokyo,0020-EF50|0020-PF90,G690,,,,,,,0020-EF50|0020-PF90,VB,568,6010,FX,2,,,5,1,PC,Proximity switch 543861 Festo,,,,0,ZA,,,3315,1,48568 | 55879,1 I 2,Purchased Part,EN,,
ERSA000018,Siemens,3301600,SK3301600,CONDENSATE COLLECTING BOTTLE,Buenoes Aires,0020-PL15,F340,,,,,,,0020-PL15,VB,568,6010,FX,3,,,3,1,PC,CONDENSATE COLLECTING BOTTLE 3301600 Siemens,,,,0,ZA,,,1063,2,48568 | 55879,3 I 0,Purchased Part,EN,,
ERSA000019,ifm electronic,OJ5100,OJB-FPKG/FO/AS,"Diffuse reflection sensor, OJB-FPKG/FO/AS",Cape Town,0020-EF50,L900,,,,,,,0020-EF50,VB,568,6010,HB,2,,,4,1,PC,"Diffuse reflection sensor, OJB-FPKG/FO/AS OJ5100 ifm electronic",,,,0,ZA,,,1137,,48568 | 55879,2 I 0,Purchased Part,EN,,
ERSA000019,ifm electronic,OJ5100,OJB-FPKG/FO/AS,"Diffuse reflection sensor, OJB-FPKG/FO/AS",Mexico City,0020-EF50,D470,,,,,,,0020-EF50,VB,568,6010,HB,2,,,4,1,PC,"Diffuse reflection sensor, OJB-FPKG/FO/AS OJ5100 ifm electronic",,,,0,ZA,,,2219,1,48568 | 55879,3 I 4,Purchased Part,EN,,
ERSA000019,ifm electronic,OJ5100,OJB-FPKG/FO/AS,"Diffuse reflection sensor, OJB-FPKG/FO/AS",Toronto,0020-EF50,H230,,,,,,,0020-EF50,VB,568,6010,HB,2,,,4,1,PC,"Diffuse reflection sensor, OJB-FPKG/FO/AS OJ5100 ifm electronic",,,,0,ZA,,,3265,2,48568 | 55879,7 I 3,Purchased Part,EN,,
ERSA000019,ifm electronic,OJ5100,OJB-FPKG/FO/AS,"Diffuse reflection sensor, OJB-FPKG/FO/AS",Buenoes Aires,0020-EF50,A168,,,,,,,0020-EF50,VB,568,6010,HB,2,,,4,1,PC,"Diffuse reflection sensor, OJB-FPKG/FO/AS OJ5100 ifm electronic",,,,0,ZA,,,4052,3,48568 | 55879,1 I 4,Purchased Part,EN,,
ERSA000020,Siemens,6EP1336-3BA00,,Regulated power supply,Stuttgart,0020-PF90,C560,,,,,,,0020-PF90,VB,568,6010,HB,2,,,4,1,PC,Regulated power supply 6EP1336-3BA00 Siemens,,,,0,ZA,,,4445,1,48568 | 55879,0 I 8,Purchased Part,EN,,
ERSA000021,TUENKERS,306380,LE 60 200 VRL SB T02,PNEUM. LINEAR UNIT,Buenoes Aires,0020-PL15|0020-EF50,K780,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,HB,1,,,0,1,PC,PNEUM. LINEAR UNIT 306380 TUENKERS,,,,0,ZA,,,2147,1,48568 | 55879,5 I 2,Purchased Part,EN,,
ERSA000022,Norelem,33052-025 120,,"Extension, measuring insert 12 mm",Chicago,0020-EF50|0020-PF90,606028,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,3,,,5,1,PC,"Extension, measuring insert 12 mm 33052-025 120 Norelem",,,,0,ZA,,,1186,2,48568 | 55879,1 I 2,Purchased Part,EN,,
ERSA000023,Balluff,BWL 000R,BWL 5454D-R011-S49,Angle photoelectric sensor,Mexico City,0020-PL15,606029,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,1,,,1,1,PC,Angle photoelectric sensor BWL 000R Balluff,,,,0,ZA,,,3028,3,48568 | 55879,3 I 0,Purchased Part,EN,,
ERSA000024,Norelem,03075-70,,Double ball snap. 03075-7 03075-70,Chicago,0020-EF50,606030,,,,,,,0020-PL15,VB,568,6010,HB,3,,,2,1,PC,Double ball snap. 03075-7 03075-70 03075-70 Norelem,,,,0,ZA,,,4652,1,48568 | 55879,2 I 0,Purchased Part,EN,,
ERSA000025,WAGO Kontakttechnik,750-530,,"8 DO bus terminal, 24V DC, 750-530",Tokyo,0020-PF90,606031,,,,,,,0020-EF50,VB,568,6010,HB,1,,,5,1,PC,"8 DO bus terminal, 24V DC, 750-530 750-530 WAGO Kontakttechnik",,,,2.64,ZA,,,1776,2,48568 | 55879,3 I 4,Purchased Part,EN,,
ERSA000026,Siemens,6EP1336-3BA10,,Regulated power supply,Toronto,0020-PL15|0020-EF50|0020-PF90,606019,,,,,,,0020-PF90,VB,568,6010,HB,3,,,1,1,PC,Regulated power supply 6EP1336-3BA10 Siemens,,,,0,ZA,,,1137,3,48568 | 55879,7 I 3,Purchased Part,EN,,
ERSA000027,IGUS,09.20.028.0,,Energy chain 09.20.028.0,Cape Town,0040-PF15,606020,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,FX,3,,,5,1,PC,Energy chain 09.20.028.0 09.20.028.0 IGUS,,,,0,ZA,,,1639,1,48568|55879|8896,1 I 4,Purchased Part,EN,,
ERSA000027,IGUS,09.20.028.0,,Energy chain 09.20.028.0,Buenoes Aires,0020-PL15|0020-EF50,0012L02007,,,,,,,0040-PF15,,,,FX,4,,,,58,PC,Energy chain 09.20.028.0 09.20.028.0 IGUS,,,,0,ZA,,,2770,2,48568|55879|8896,0 I 8,Purchased Part,EN,,
ERSA000028,ifm,PN2022,PN-100-SBR14-MFRKG/US/ /V,Sensor PN-100-SBR14-MFRKG/US/V,Buenoes Aires,0020-PL15|0020-EF50,0012L02043,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,1,,,4,1,PC,Sensor PN-100-SBR14-MFRKG/US/V PN2022 ifm,,,,86.1,ZA,,,2586,3,48568 | 55879,5 I 2,Purchased Part,EN,,
ERSA000028,ifm,PN2022,PN-100-SBR14-MFRKG/US/ /V,Sensor PN-100-SBR14-MFRKG/US/V,Chicago,0020-PL15|0020-EF50,0012L02007,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,1,,,4,1,PC,Sensor PN-100-SBR14-MFRKG/US/V PN2022 ifm,,,,86.1,ZA,,,1295,1,48568 | 55879,1 I 2,Purchased Part,EN,,
ERSA000028,ifm,PN2022,PN-100-SBR14-MFRKG/US/ /V,Sensor PN-100-SBR14-MFRKG/US/V,Mexico City,0020-PL15|0020-EF50,0012L02007,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,1,,,4,1,PC,Sensor PN-100-SBR14-MFRKG/US/V PN2022 ifm,,,,86.1,ZA,,,3925,2,48568 | 55879,3 I 0,Purchased Part,EN,,
ERSA000028,ifm,PN2022,PN-100-SBR14-MFRKG/US/ /V,Sensor PN-100-SBR14-MFRKG/US/V,Cape Town,0020-EF50|0020-PF90,0012L02013,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,1,,,4,1,PC,Sensor PN-100-SBR14-MFRKG/US/V PN2022 ifm,,,,86.1,ZA,,,1054,3,48568 | 55879,5 I 2,Purchased Part,EN,,
ERSA000029,Hans Turck Gmbh & Co. KG,6625550,PKG3M-2/TXL,CONNECTION CABLE,Chicago,0020-EF50,0012L01014,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,1,,,0,1,PC,CONNECTION CABLE 6625550 Hans Turck Gmbh & Co. KG,,,,37.99,ZA,,,2789,1,48568 | 55879,1 I 2,Purchased Part,EN,,
ERSA000031,WAGO Kontakttechnik,750-303,,Field bus coupler 110-50-442,Chicago,0020-PF90,0012L01014,,,,,,,0020-EF50,VB,568,6010,HB,2,,,0,1,PC,Field bus coupler 110-50-442 750-303 WAGO Kontakttechnik,,,,0,ZA,,,3223,2,48568 | 55879,3 I 0,Purchased Part,EN,,
ERSA000032,SMC,CD 55 B 20 - 60,Cylinder,Cylinder CD 55 B 20 - 60,Buenoes Aires,0020-PL15|0020-EF50|0020-PF90,0012L01014,,,,,,,0020-PF90,VB,568,6010,FX,2,,,0,1,PC,Cylinder CD 55 B 20 - 60 CD 55 B 20 - 60 SMC,,,,141.49,ZA,,,4819,3,48568 | 55879,1 I 2,Purchased Part,EN,,
ERSA000033,ifm,IE5 266,IEB3001-BPKG/AS,Inductive sensor ,Mexico City,0020-PL15|0020-EF50,0012L02028,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,HB,3,,,2,1,PC,Inductive sensor  IE5 266 ifm,,,,86.1,ZA,,,2759,1,56588,1,Purchased Part,EN,,
ERSA000034,TUENKERS,202777,1355917000,PIN F. PIN SWITCH LEVER K63 Z,Cape Town,0020-EF50|0020-PF90,0012L02008,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,2,,,1,1,PC,PIN F. PIN SWITCH LEVER K63 Z 202777 TUENKERS,,,,4.96,ZA,,,2565,2,78836,1,Purchased Part,EN,,
ERSA000035,Bosch Rexroth AG,3842305210,,Bar 3842305210,Cape Town,0020-PL15,0012L01014,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,3,,,3,1,PC,Bar 3842305210 3842305210 Bosch Rexroth AG,,,,0,ZA,,,4728,3,55885,1,Purchased Part,EN,,
ERSA000036,SMC,CD55B25-150M,Cylinder,Cylinder SMC CD55B25-150M,Chicago,0020-EF50,0012L01014,,,,,,,0020-PL15,VB,568,6010,HB,3,,,4,1,PC,Cylinder SMC CD55B25-150M CD55B25-150M SMC,,,,194.53,ZA,,,4331,1,77557,2,Purchased Part,EN,,
ERSA000037,Pepperl+Fuchs,265351,DATA LIGHT BARRIER LS682-DA-EN/F2/35,Data light barrier,Stuttgart,0020-PF90,B450,,,,,,,0020-EF50,VB,568,6010,HB,3,,,5,1,PC,Data light barrier 265351 Pepperl+Fuchs,,,,0,ZA,,,3617,2,15986,8,Purchased Part,EN,,
ERSA000038,Rittal,910022840,,Filter fan,Tokyo,0020-PL15|0020-EF50|0020-PF90,Z356,,,,,,,0020-PF90,VB,568,6010,FX,3,,,0,1,PC,Filter fan 910022840 Rittal,,,,105.2,ZA,,,4278,3,15796,9,Purchased Part,EN,,
ERSA000039,Harting,9120073001,"Inserts, crimp connection Han Q 7/0-M",Inserts,Mexico City,0020-PL15|0020-EF50,G690,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,HB,3,,,5,1,PC,Inserts 9120073001 Harting,,,,0,ZA,,,1567,1,45863,4,Purchased Part,EN,,
ERSA000040,Blickle,LER-VE 80R-FI-FA,,Swivel castor,Mexico City,0020-EF50|0020-PF90,F340,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,2,,,1,1,PC,Swivel castor LER-VE 80R-FI-FA Blickle,,,,0,ZA,,,2210,2,48576,3,Purchased Part,EN,,
ERSA000041,Rittal,TS8800.190,,HINGES 180,Mexico City,0020-EF50,L900,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,1,,,3,1,PC,HINGES 180 TS8800.190 Rittal,,,,0,ZA,,,3574,3,15579,5,Purchased Part,EN,,
ERSA000043,Festo,DSNU-20-320-PPV-A                                                                                   ,Standard cylinder,Pneumatic cylinder,Cape Town,0020-PF90,D470,,,,,,,0020-EF50,VB,568,6010,HB,2,,,5,1,PC,Pneumatic cylinder DSNU-20-320-PPV-A                                                                                    Festo,,,,132.52,ZA,,,3734,1,36598,2,Purchased Part,EN,,
ERSA000044,Siemens AG,1PH7107-2EG02-0BK0                                                                                  ,,Servo motor,Buenoes Aires,0010-PF30,H230,,,,,,,0020-PF90,VB,568,6010,HB,2,,,2,1,PC,Servo motor 1PH7107-2EG02-0BK0                                                                                   Siemens AG,,,,2320.5,ZA,,,2241,2,12678|558896,7 I 3,Purchased Part,EN,,
ERSA000044,Siemens AG,1PH7107-2EG02-0BK0,,Servo motor,Buenoes Aires,0020-PL15|0020-EF50|0020-PF90,A168,,,,,,,0010-PF30,,,,FX,10,,,,5,PC,Servo motor 1PH7107-2EG02-0BK0 Siemens AG,,,,2320.5,ZA,,,4927,3,12678|558896,1 I 4,Purchased Part,EN,,
ERSA000045,Festo,SG-M8                                                                                               ,clevis,,Stuttgart,0020-PL15|0020-EF50,C560,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,FX,2,,,2,1,PC, SG-M8                                                                                                Festo,,,,0,ZA,,,4263,1,12576,1,Purchased Part,EN,,
ERSA000046,Festo,DNU-32-220-PPV-A                                                                                    ,Standard cylinder,Pneumatic cylinder,Cape Town,0020-EF50|0020-PF90,E440,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,3,,,5,1,PC,Pneumatic cylinder DNU-32-220-PPV-A                                                                                     Festo,,,,141.49,ZA,,,4347,2,257968,4,Purchased Part,EN,,
ERSA000047,Siemens AG,3RV1031-4FA10                                                                                       ,,motor protection switch,Cape Town,0020-PL15,K780,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,2,,,0,1,PC,motor protection switch 3RV1031-4FA10                                                                                        Siemens AG,,,,0,ZA,,,4157,3,12546,8,Purchased Part,EN,,
ERSA000048,WAGO Kontakttechnik,2002-2201,,Double level terminal 24V 2002-2201,Chicago,0020-EF50,606028,,,,,,,0020-PL15,VB,568,6010,HB,3,,,2,1,PC,Double level terminal 24V 2002-2201 2002-2201 WAGO Kontakttechnik,,,,1.62,ZA,,,3333,1,478562,11,Purchased Part,EN,,
ERSA000049,Norelem,03188-12,,Bushing for locking bolt 03188-12,Cape Town,0020-PF90,606029,,,,,,,0020-EF50,VB,568,6010,HB,1,,,2,1,PC,Bushing for locking bolt 03188-12 03188-12 Norelem,,,,5.15,ZA,,,1829,2,7854|7858|66986,2 I 0,Purchased Part,EN,,
ERSA000050,Turck,16046,Sonsor Inductive BI1-H08K-AP6X-V1131,Sensor,Toronto,0020-PL15|0020-EF50,606030,,,,,,,0020-PF90,VB,568,6010,HB,3,,,4,1,PC,Sensor 16046 Turck,,,,71.56,ZA,,,2499,3,867936,7,Purchased Part,EN,,
ERSA000052,Norelem,26102-01001055,,M4 26102-01001055,Mexico City,0020-EF50|0020-PF90,606031,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,3,,,4,1,PC,M4 26102-01001055 26102-01001055 Norelem,,,,0,ZA,,,2583,1,458796|785625,3 I 4,Purchased Part,EN,,
ERSA000053,RUBIX,582788,820403023,Directional valve,Stuttgart,0020-PL15,606019,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,2,,,3,1,PC,Directional valve 582788 RUBIX,,,,0,ZA,,,3750,2,48568 | 55879,3 I 0,Purchased Part,EN,,
ERSA000054,Weidmueller,1879711000,,Sensor/actuator cable,Chicago,0020-EF50,606020,,,,,,,0020-PL15,VB,568,6010,HB,2,,,5,1,PC,Sensor/actuator cable 1879711000 Weidmueller,,,,88.34,ZA,,,4854,3,48568 | 55879,2 I 0,Purchased Part,EN,,
ERSA000055,MURRELEKTRONIK,7000-12181-0331000,,CONNECTING CABLE,Chicago,0020-PF90,0012L02007,,,,,,,0020-EF50,VB,568,6010,FX,1,,,3,1,PC,CONNECTING CABLE 7000-12181-0331000 MURRELEKTRONIK,,,,0,ZA,,,3455,1,48568 | 55879,4 I 6,Purchased Part,EN,,
ERSA000056,Rittal,SK3382.5000,,Control cabinet cooling unit ,Stuttgart,0020-PL15|0020-EF50|0020-PF90,0012L02043,,,,,,,0020-PF90,VB,568,6010,HB,3,,,3,1,PC,Control cabinet cooling unit  SK3382.5000 Rittal,,,,2525,ZA,,,1976,2,56588,1,Purchased Part,EN,,
ERSA000057,WAGO Kontakttechnik,750-430,,"8DI BUS CLAMP 24V DC ; 0.08-2,5mm² ;1Dra",Stuttgart,0020-PL15|0020-EF50,0012L02007,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,FX,1,,,0,1,PC,"8DI BUS CLAMP 24V DC ; 0.08-2,5mm² ;1Dra 750-430 WAGO Kontakttechnik",,,,1.85,ZA,,,2052,3,78836,1,Purchased Part,EN,,
ERSA000058,Balluff,BES01Y8,"BES R04KC-POC15B-EP00,3-GS49",sensor,Toronto,0020-EF50|0020-PF90,0012L02007,,,,,,,0020-PL15|0020-EF50,VB,568,6010,FX,1,,,5,1,PC,sensor BES01Y8 Balluff,,,,98.44,ZA,,,3321,1,55885,1,Purchased Part,EN,,
ERSA000059,Weidmueller,1489940000,WLAN ROUTER IE-SR-2GT-LAN-FN,WLAN-ROUTER IE-SR-2GT-LAN-FN,Tokyo,0020-PL15,0012L02013,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,2,,,3,1,PC,WLAN-ROUTER IE-SR-2GT-LAN-FN 1489940000 Weidmueller,,,,0,ZA,,,3888,2,77557,2,Purchased Part,EN,,
ERSA000060,Bosch Rexroth AG,R900346083,,check valve M SR 8 KE-05 1X/,Buenoes Aires,0020-EF50,0012L01014,,,,,,,0020-PL15,VB,568,6010,HB,2,,,5,1,PC,check valve M SR 8 KE-05 1X/ R900346083 Bosch Rexroth AG,,,,0,ZA,,,1938,3,15986,8,Purchased Part,EN,,
ERSA000061,Bosch Rexroth AG,3842535330,,COVER CAPS 3842535330,Stuttgart,0020-PF90,0012L01014,,,,,,,0020-EF50,VB,568,6010,FX,2,,,4,1,PC,COVER CAPS 3842535330 3842535330 Bosch Rexroth AG,,,,0,ZA,,,1623,1,15796,9,Purchased Part,EN,,
ERSA000062,TURCK,1613000,"Sensor inductive, BI2-Q5,5-AP6X",sensor,Cape Town,0020-PL15|0020-EF50|0020-PF90,0012L01014,,,,,,,0020-PF90,VB,568,6010,HB,1,,,0,1,PC,sensor 1613000 TURCK,,,,65.81,ZA,,,3521,2,45863,4,Purchased Part,EN,,
ERSA000063,Hans Turck Gmbh & Co. KG,8008081,FSM4-2SKP3,Y-DISTRIBUTOR PLUG,Toronto,0020-PL15|0020-EF50,0012L02028,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,FX,2,,,5,1,PC,Y-DISTRIBUTOR PLUG 8008081 Hans Turck Gmbh & Co. KG,,,,0,ZA,,,4794,3,48576,3,Purchased Part,EN,,
ERSA000064,Weidmueller,1828740000,,Sensor-Actuator-Interface,Cape Town,0020-EF50|0020-PF90,0012L02008,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,1,,,0,1,PC,Sensor-Actuator-Interface 1828740000 Weidmueller,,,,71.83,ZA,,,2897,1,15579,8,Purchased Part,EN,,
ERSA000065,ifm,IE5266,IEB3001-BPKG/AS,Inductive sensor ,Cape Town,0020-PL15,0012L01014,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,1,,,2,1,PC,Inductive sensor  IE5266 ifm,,,,86.1,ZA,,,1329,2,45578,9,Purchased Part,EN,,
ERSA000066,Bosch Rexroth AG,3842516898,,Guide 3842516898,Cape Town,0020-EF50,0012L01014,,,,,,,0020-PL15,VB,568,6010,FX,2,,,3,1,PC,Guide 3842516898 3842516898 Bosch Rexroth AG,,,,0,ZA,,,4336,3,36598,4,Purchased Part,EN,,
ERSA000067,Bosch Rexroth AG,3842218920,,Coupling 3842218920,Chicago,0020-PF90,B450,,,,,,,0020-EF50,VB,568,6010,FX,2,,,3,1,PC,Coupling 3842218920 3842218920 Bosch Rexroth AG,,,,0,ZA,,,4252,1,12678,1,Purchased Part,EN,,
ERSA000068,Rittal GmbH & Co. KG,SK3241.100,TOPTHERM,FILTER FAN,Mexico City,0020-PL15|0020-EF50|0020-PF90,Z356,,,,,,,0020-PF90,VB,568,6010,HB,3,,,3,1,PC,FILTER FAN SK3241.100 Rittal GmbH & Co. KG,,,,88.99,ZA,,,4585,2,12576,1,Purchased Part,EN,,
ERSA000069,Phoenix Contact,2938756,"Mini-PS-100-240AC/10-15DC/2, Netzteil",Mini,Cape Town,0020-PL15|0020-EF50,G690,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,HB,3,,,1,1,PC,Mini 2938756 Phoenix Contact,,,,0,ZA,,,2197,3,257968,1,Purchased Part,EN,,
ERSA000070,Pepperl+Fuchs,206773,Neigungssensor INX360D-F99-U2E2-V15,Inclination sensor,Stuttgart,0020-EF50|0020-PF90,F340,,,,,,,0020-PL15|0020-EF50,VB,568,6010,HB,1,,,2,1,PC,Inclination sensor 206773 Pepperl+Fuchs,,,,77.85,ZA,,,4533,1,12546,2,Purchased Part,EN,,
ERSA000071,Norelem,03153-16025,,Positionierzylinder,Cape Town,0020-PL15,L900,,,,,,,0020-EF50|0020-PF90,VB,568,6010,HB,3,,,1,1,PC,Positionierzylinder 03153-16025 Norelem,,,,194.48,ZA,,,4023,2,478562,9,Purchased Part,EN,,
ERSA000072,Turck,4686051,"SENSOR BIM-UNTK-AP6X-0,4-PSG3M/S909",Sensor,Stuttgart,0020-EF50,D470,,,,,,,0020-PL15,VB,568,6010,HB,3,,,0,1,PC,Sensor 4686051 Turck,,,,63.98,ZA,,,3140,3,7854|7858|66986,0 I 6 I 7,Purchased Part,EN,,
ERSA000073,Norelem,08910-A1010X12,,"Collar bushing, 10.1 x 18 x 12 mm",Cape Town,0020-PF90,H230,,,,,,,0020-EF50,VB,568,6010,FX,3,,,4,1,PC,"Collar bushing, 10.1 x 18 x 12 mm 08910-A1010X12 Norelem",,,,4.67,ZA,,,2545,1,867936,3,Purchased Part,EN,,
ERSA000074,Balluff,BMF003F,"BMF 303K-PS-C-2-S49-00,2",Sensor,Buenoes Aires,0020-PL15|0020-EF50|0020-PF90,A168,,,,,,,0020-PF90,VB,568,6010,HB,1,,,4,1,PC,Sensor BMF003F Balluff,,,,76.22,ZA,,,1582,2,6589|7854,1 I 0,Purchased Part,EN,,
ERSA000075,Balluff,BCS001H,BCS D22T408-XXS10C-EP02-GZ01-002,Sensor,Mexico City,0020-PL15|0020-EF50,C560,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6010,FX,2,,,1,1,PC,Sensor BCS001H Balluff,,,,85.33,ZA,,,2794,3,458796|785625,2 I 2,Purchased Part,EN,,
